# Configuration.csv file for Capstone Project.
# Configuration Tse of the end-effector, 
# expressed as 13 variables separated by commas. The 13 variables are, in order
# r11, r12, r13, r21, r22, r23, r31, r32, r33, px, py, pz, gripper state
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.1662,0.0,0.5,0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.16620024,0.0,0.50000028,0
1.0,0.0,3.14e-06,0.0,1.0,0.0,-3.14e-06,0.0,1.0,0.16620097,0.0,0.50000112,0
1.0,0.0,7.07e-06,0.0,1.0,0.0,-7.07e-06,0.0,1.0,0.16620218,0.0,0.50000251,0
1.0,0.0,1.256e-05,0.0,1.0,0.0,-1.256e-05,0.0,1.0,0.16620387,0.0,0.50000446,0
1.0,0.0,1.963e-05,0.0,1.0,0.0,-1.963e-05,0.0,1.0,0.16620605,0.0,0.50000697,0
1.0,0.0,2.826e-05,0.0,1.0,0.0,-2.826e-05,0.0,1.0,0.16620871,0.0,0.50001003,0
1.0,0.0,3.845e-05,0.0,1.0,0.0,-3.845e-05,0.0,1.0,0.16621185,0.0,0.50001365,0
1.0,0.0,5.021e-05,0.0,1.0,0.0,-5.021e-05,0.0,1.0,0.16621547,0.0,0.50001782,0
1.0,0.0,6.353e-05,0.0,1.0,0.0,-6.353e-05,0.0,1.0,0.16621958,0.0,0.50002255,0
1.0,0.0,7.842e-05,0.0,1.0,0.0,-7.842e-05,0.0,1.0,0.16622416,0.0,0.50002783,0
1.0,0.0,9.486e-05,0.0,1.0,0.0,-9.486e-05,0.0,1.0,0.16622923,0.0,0.50003367,0
0.99999999,0.0,0.00011287,0.0,1.0,0.0,-0.00011287,0.0,0.99999999,0.16623478,0.0,0.50004006,0
0.99999999,0.0,0.00013244,0.0,1.0,0.0,-0.00013244,0.0,0.99999999,0.16624081,0.0,0.50004701,0
0.99999999,0.0,0.00015356,0.0,1.0,0.0,-0.00015356,0.0,0.99999999,0.16624732,0.0,0.5000545,0
0.99999998,0.0,0.00017624,0.0,1.0,0.0,-0.00017624,0.0,0.99999998,0.16625431,0.0,0.50006255,0
0.99999998,0.0,0.00020048,0.0,1.0,0.0,-0.00020048,0.0,0.99999998,0.16626178,0.0,0.50007115,0
0.99999997,0.0,0.00022627,0.0,1.0,0.0,-0.00022627,0.0,0.99999997,0.16626973,0.0,0.50008031,0
0.99999997,0.0,0.00025362,0.0,1.0,0.0,-0.00025362,0.0,0.99999997,0.16627816,0.0,0.50009001,0
0.99999996,0.0,0.00028252,0.0,1.0,0.0,-0.00028252,0.0,0.99999996,0.16628706,0.0,0.50010027,0
0.99999995,0.0,0.00031297,0.0,1.0,0.0,-0.00031297,0.0,0.99999995,0.16629645,0.0,0.50011107,0
0.99999994,0.0,0.00034497,0.0,1.0,0.0,-0.00034497,0.0,0.99999994,0.16630631,0.0,0.50012243,0
0.99999993,0.0,0.00037853,0.0,1.0,0.0,-0.00037853,0.0,0.99999993,0.16631665,0.0,0.50013433,0
0.99999991,0.0,0.00041363,0.0,1.0,0.0,-0.00041363,0.0,0.99999991,0.16632747,0.0,0.50014679,0
0.9999999,0.0,0.00045028,0.0,1.0,0.0,-0.00045028,0.0,0.9999999,0.16633877,0.0,0.50015979,0
0.99999988,0.0,0.00048847,0.0,1.0,0.0,-0.00048847,0.0,0.99999988,0.16635055,0.0,0.50017334,0
0.99999986,0.0,0.00052821,0.0,1.0,0.0,-0.00052821,0.0,0.99999986,0.1663628,0.0,0.50018744,0
0.99999984,0.0,0.0005695,0.0,1.0,0.0,-0.0005695,0.0,0.99999984,0.16637553,0.0,0.50020209,0
0.99999981,0.0,0.00061233,0.0,1.0,0.0,-0.00061233,0.0,0.99999981,0.16638873,0.0,0.50021729,0
0.99999978,0.0,0.0006567,0.0,1.0,0.0,-0.0006567,0.0,0.99999978,0.16640242,0.0,0.50023303,0
0.99999975,0.0,0.00070261,0.0,1.0,0.0,-0.00070261,0.0,0.99999975,0.16641657,0.0,0.50024931,0
0.99999972,0.0,0.00075007,0.0,1.0,0.0,-0.00075007,0.0,0.99999972,0.16643121,0.0,0.50026615,0
0.99999968,0.0,0.00079906,0.0,1.0,0.0,-0.00079906,0.0,0.99999968,0.16644632,0.0,0.50028352,0
0.99999964,0.0,0.00084959,0.0,1.0,0.0,-0.00084959,0.0,0.99999964,0.1664619,0.0,0.50030145,0
0.99999959,0.0,0.00090166,0.0,1.0,0.0,-0.00090166,0.0,0.99999959,0.16647796,0.0,0.50031991,0
0.99999954,0.0,0.00095526,0.0,1.0,0.0,-0.00095526,0.0,0.99999954,0.16649449,0.0,0.50033893,0
0.99999949,0.0,0.0010104,0.0,1.0,0.0,-0.0010104,0.0,0.99999949,0.1665115,0.0,0.50035848,0
0.99999943,0.0,0.00106708,0.0,1.0,0.0,-0.00106708,0.0,0.99999943,0.16652898,0.0,0.50037858,0
0.99999937,0.0,0.00112528,0.0,1.0,0.0,-0.00112528,0.0,0.99999937,0.16654694,0.0,0.50039922,0
0.9999993,0.0,0.00118502,0.0,1.0,0.0,-0.00118502,0.0,0.9999993,0.16656537,0.0,0.5004204,0
0.99999922,0.0,0.00124629,0.0,1.0,0.0,-0.00124629,0.0,0.99999922,0.16658428,0.0,0.50044213,0
0.99999914,0.0,0.00130909,0.0,1.0,0.0,-0.00130909,0.0,0.99999914,0.16660365,0.0,0.50046439,0
0.99999906,0.0,0.00137342,0.0,1.0,0.0,-0.00137342,0.0,0.99999906,0.16662351,0.0,0.5004872,0
0.99999896,0.0,0.00143928,0.0,1.0,0.0,-0.00143928,0.0,0.99999896,0.16664383,0.0,0.50051055,0
0.99999886,0.0,0.00150666,0.0,1.0,0.0,-0.00150666,0.0,0.99999886,0.16666463,0.0,0.50053443,0
0.99999876,0.0,0.00157557,0.0,1.0,0.0,-0.00157557,0.0,0.99999876,0.1666859,0.0,0.50055886,0
0.99999865,0.0,0.001646,0.0,1.0,0.0,-0.001646,0.0,0.99999865,0.16670764,0.0,0.50058382,0
0.99999852,0.0,0.00171796,0.0,1.0,0.0,-0.00171796,0.0,0.99999852,0.16672985,0.0,0.50060933,0
0.9999984,0.0,0.00179144,0.0,1.0,0.0,-0.00179144,0.0,0.9999984,0.16675254,0.0,0.50063537,0
0.99999826,0.0,0.00186644,0.0,1.0,0.0,-0.00186644,0.0,0.99999826,0.1667757,0.0,0.50066195,0
0.99999811,0.0,0.00194297,0.0,1.0,0.0,-0.00194297,0.0,0.99999811,0.16679933,0.0,0.50068907,0
0.99999796,0.0,0.00202101,0.0,1.0,0.0,-0.00202101,0.0,0.99999796,0.16682343,0.0,0.50071672,0
0.99999779,0.0,0.00210057,0.0,1.0,0.0,-0.00210057,0.0,0.99999779,0.166848,0.0,0.50074491,0
0.99999762,0.0,0.00218164,0.0,1.0,0.0,-0.00218164,0.0,0.99999762,0.16687304,0.0,0.50077363,0
0.99999744,0.0,0.00226424,0.0,1.0,0.0,-0.00226424,0.0,0.99999744,0.16689855,0.0,0.50080289,0
0.99999724,0.0,0.00234834,0.0,1.0,0.0,-0.00234834,0.0,0.99999724,0.16692454,0.0,0.50083269,0
0.99999704,0.0,0.00243397,0.0,1.0,0.0,-0.00243397,0.0,0.99999704,0.16695099,0.0,0.50086301,0
0.99999682,0.0,0.0025211,0.0,1.0,0.0,-0.0025211,0.0,0.99999682,0.16697792,0.0,0.50089388,0
0.99999659,0.0,0.00260975,0.0,1.0,0.0,-0.00260975,0.0,0.99999659,0.16700531,0.0,0.50092527,0
0.99999636,0.0,0.00269991,0.0,1.0,0.0,-0.00269991,0.0,0.99999636,0.16703318,0.0,0.5009572,0
0.9999961,0.0,0.00279158,0.0,1.0,0.0,-0.00279158,0.0,0.9999961,0.16706151,0.0,0.50098966,0
0.99999584,0.0,0.00288476,0.0,1.0,0.0,-0.00288476,0.0,0.99999584,0.16709031,0.0,0.50102265,0
0.99999556,0.0,0.00297944,0.0,1.0,0.0,-0.00297944,0.0,0.99999556,0.16711958,0.0,0.50105617,0
0.99999527,0.0,0.00307563,0.0,1.0,0.0,-0.00307563,0.0,0.99999527,0.16714933,0.0,0.50109023,0
0.99999496,0.0,0.00317333,0.0,1.0,0.0,-0.00317333,0.0,0.99999496,0.16717954,0.0,0.50112481,0
0.99999465,0.0,0.00327254,0.0,1.0,0.0,-0.00327254,0.0,0.99999465,0.16721022,0.0,0.50115992,0
0.99999431,0.0,0.00337324,0.0,1.0,0.0,-0.00337324,0.0,0.99999431,0.16724136,0.0,0.50119556,0
0.99999396,0.0,0.00347545,0.0,1.0,0.0,-0.00347545,0.0,0.99999396,0.16727298,0.0,0.50123174,0
0.99999359,0.0,0.00357916,0.0,1.0,0.0,-0.00357916,0.0,0.99999359,0.16730507,0.0,0.50126843,0
0.99999321,0.0,0.00368437,0.0,1.0,0.0,-0.00368437,0.0,0.99999321,0.16733762,0.0,0.50130566,0
0.99999281,0.0,0.00379108,0.0,1.0,0.0,-0.00379108,0.0,0.99999281,0.16737064,0.0,0.50134341,0
0.9999924,0.0,0.00389929,0.0,1.0,0.0,-0.00389929,0.0,0.9999924,0.16740413,0.0,0.50138169,0
0.99999196,0.0,0.004009,0.0,1.0,0.0,-0.004009,0.0,0.99999196,0.16743808,0.0,0.5014205,0
0.99999151,0.0,0.0041202,0.0,1.0,0.0,-0.0041202,0.0,0.99999151,0.16747251,0.0,0.50145983,0
0.99999104,0.0,0.0042329,0.0,1.0,0.0,-0.0042329,0.0,0.99999104,0.1675074,0.0,0.50149969,0
0.99999055,0.0,0.00434709,0.0,1.0,0.0,-0.00434709,0.0,0.99999055,0.16754276,0.0,0.50154007,0
0.99999004,0.0,0.00446278,0.0,1.0,0.0,-0.00446278,0.0,0.99999004,0.16757858,0.0,0.50158098,0
0.99998951,0.0,0.00457996,0.0,1.0,0.0,-0.00457996,0.0,0.99998951,0.16761487,0.0,0.5016224,0
